id,Bulan,Nama_Wilayah,Jumlah,Tahun,,,,,,,
1,Januari,Kota Cirebon,347,2021,,,,,,,
2,Februari,Kota Cirebon,254,2021,,,,,,,
3,Maret,Kota Cirebon,394,2021,,,,,,,
4,April,Kota Cirebon,378,2021,,,,,,,
5,Mei,Kota Cirebon,374,2021,,,,,,,
6,Juni,Kota Cirebon,382,2021,,,,,,,
7,Juli,Kota Cirebon,455,2021,,,,,,,
8,Agustus,Kota Cirebon,330,2021,,,,,,,
9,September,Kota Cirebon,279,2021,,,,,,,
10,Oktober,Kota Cirebon,322,2021,,,,,,,
11,November,Kota Cirebon,319,2021,,,,,,,
12,Desember,Kota Cirebon,365,2021,,,,,,,
13,Januari,Kota Cirebon,391,2022,,,,,,,
14,Februari,Kota Cirebon,328,2022,,,,,,,
15,Maret,Kota Cirebon,302,2022,,,,,,,
16,April,Kota Cirebon,275,2022,,,,,,,
17,Mei,Kota Cirebon,355,2022,,,,,,,
18,Juni,Kota Cirebon,429,2022,,,,,,,
19,Juli,Kota Cirebon,390,2022,,,,,,,
20,Agustus,Kota Cirebon,418,2022,,,,,,,
21,September,Kota Cirebon,467,2022,,,,,,,
22,Oktober,Kota Cirebon,511,2022,,,,,,,
23,November,Kota Cirebon,492,2022,,,,,,,
24,Desember,Kota Cirebon,487,2022,,,,,,,
25,Januari,Kota Cirebon,421,2023,,,,,,,
26,Februari,Kota Cirebon,460,2023,,,,,,,
27,Maret,Kota Cirebon,462,2023,,,,,,,
28,April,Kota Cirebon,374,2023,,,,,,,
29,Mei,Kota Cirebon,476,2023,,,,,,,
30,Juni,Kota Cirebon,434,2023,,,,,,,
31,Juli,Kota Cirebon,487,2023,,,,,,,
32,Agustus,Kota Cirebon,399,2023,,,,,,,
33,September,Kota Cirebon,463,2023,,,,,,,
34,Oktober,Kota Cirebon,626,2023,,,,,,,
35,November,Kota Cirebon,518,2023,,,,,,,
36,Desember,Kota Cirebon,455,2023,,,,,,,
37,Januari,Kota Cirebon,513,2024,,,,,,,
38,Februari,Kota Cirebon,505,2024,,,,,,,
39,Maret,Kota Cirebon,609,2024,,,,,,,
40,April,Kota Cirebon,569,2024,,,,,,,
41,Mei,Kota Cirebon,602,2024,,,,,,,
42,Juni,Kota Cirebon,542,2024,,,,,,,
43,Juli,Kota Cirebon,568,2024,,,,,,,
44,Agustus,Kota Cirebon,532,2024,,,,,,,
45,September,Kota Cirebon,518,2024,,,,,,,
46,Oktober,Kota Cirebon,616,2024,,,,,,,
47,November,Kota Cirebon,542,2024,,,,,,,
48,Desember,Kota Cirebon,615,2024,,,,,,,
